epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55202,1.5809,2.72066,0.90241,0.92578,0.19714,0.21849,0.11365,1.61393,1.4724,0.84764,0.0001875,0.0001875,0.0001875
2,8.53682,1.41014,1.01461,0.83982,0.59009,0.32049,0.30804,0.1742,1.38681,1.17568,0.82999,0.000368319,0.000368319,0.000368319
3,12.6678,1.36463,0.89879,0.83288,0.72507,0.43834,0.45537,0.2236,1.68361,1.00169,0.83857,0.000529338,0.000529338,0.000529338
4,16.9603,1.43691,0.87557,0.83829,0.82282,0.41005,0.48791,0.27056,1.46887,0.83821,0.84002,0.000670556,0.000670556,0.000670556
5,21.066,1.36082,0.83037,0.83161,0.69861,0.46799,0.45908,0.23626,1.37674,1.03946,0.82018,0.000791975,0.000791975,0.000791975
6,25.0918,1.30013,0.77866,0.82302,0.75569,0.49023,0.53191,0.33859,1.16874,0.79385,0.81239,0.000893594,0.000893594,0.000893594
7,29.2621,1.27475,0.7816,0.81912,0.8015,0.47571,0.55141,0.31619,1.26356,0.72592,0.81514,0.00087875,0.00087875,0.00087875
8,32.9216,1.25089,0.78564,0.81921,0.7825,0.51531,0.56734,0.32599,1.23517,0.76623,0.80984,0.000816875,0.000816875,0.000816875
9,36.7463,1.20748,0.70241,0.81662,0.76047,0.55169,0.60834,0.38141,1.13316,0.75074,0.80504,0.000755,0.000755,0.000755
10,40.6208,1.19707,0.66246,0.81221,0.8168,0.52922,0.58584,0.36732,1.12846,0.66704,0.80563,0.000693125,0.000693125,0.000693125
11,44.6637,1.13061,0.66454,0.80742,0.81949,0.56155,0.60971,0.39385,1.10864,0.63756,0.80161,0.00063125,0.00063125,0.00063125
12,48.1618,1.07649,0.60681,0.80781,0.86624,0.5255,0.62995,0.39465,1.12995,0.61228,0.80367,0.000569375,0.000569375,0.000569375
13,51.651,1.06698,0.59999,0.807,0.81926,0.55594,0.63388,0.4053,1.07503,0.58211,0.80152,0.0005075,0.0005075,0.0005075
14,55.3455,1.05028,0.57054,0.80776,0.84122,0.58151,0.6475,0.40077,1.1217,0.58685,0.80562,0.000445625,0.000445625,0.000445625
15,58.7602,1.04821,0.56114,0.80567,0.83719,0.57897,0.62933,0.40742,1.09216,0.5773,0.80523,0.00038375,0.00038375,0.00038375
16,62.2576,0.99159,0.53689,0.80233,0.83243,0.63757,0.65886,0.4267,1.02734,0.54104,0.79934,0.000321875,0.000321875,0.000321875
17,65.7688,1.00615,0.53101,0.80575,0.85508,0.56748,0.64504,0.42243,1.02665,0.54797,0.79837,0.00026,0.00026,0.00026
18,69.1953,1.00448,0.52938,0.80228,0.8257,0.61615,0.67377,0.43603,1.02584,0.53483,0.79795,0.000198125,0.000198125,0.000198125
19,72.6967,0.97661,0.51818,0.79649,0.85662,0.60924,0.67397,0.44335,1.00198,0.53922,0.79773,0.00013625,0.00013625,0.00013625
20,76.1948,0.94825,0.49756,0.79927,0.89535,0.61482,0.69164,0.44841,0.99687,0.51431,0.79722,7.4375e-05,7.4375e-05,7.4375e-05
